source,rating
cheese,-63.4078947368421
chemicals,44.17333333333333
childbirth,30.666666666666668
chilli,-36.86754966887417
chimney,-17.19463087248322
chlorine,13.701986754966887
chocolate,-53.467532467532465
chopper,21.166666666666668
cliff,45.08
climate,20.94
clinic,-44.08843537414966
clouds,-61.733333333333334
clown,-37.56643356643357
club,-5.386666666666667
cobra,67.82191780821918
cocoa,-61.65806451612903
coffee,-38.17567567567568
coke,11.543046357615895
coma,64.93197278911565
combat,77.94701986754967
comet,2.5496688741721854
concentration,-65.4496644295302
conditioner,-61.96103896103896
condom,-42.68666666666667
cooker,-13.884353741496598
corruption,64.79194630872483
cotton,-72.31756756756756
cow,-33.317880794701985
cramp,1.4
creek,-4.496644295302014
cricket,-30.887417218543046
crime,78.12751677852349
criminal,65.22875816993464
cruise,-21.2
crying,-33.682119205298015
cure,-60.723684210526315
cyclone,69.61842105263158
cyst,29.781456953642383
dagger,64.52380952380952
dandelion,-74.64864864864865
dark,9.046052631578947
darkness,4.933333333333334
death,72.5364238410596
debris,24.714285714285715
dementia,68.18243243243244
desert,20.87248322147651
desk,-63.945578231292515
dictator,73.12582781456953
dictatorship,66.65771812080537
diesel,14.516556291390728
diet,-21.14
dirt,-11.901315789473685
distraction,22.203821656050955
distress,37.095238095238095
doll,-71.97315436241611
dolphin,-47.87162162162162
dragonfly,-53.27333333333333
drill,12.409395973154362
drunken,40.794701986754966
duck,-58.328859060402685
dust,-10.34640522875817
dying,64.64429530201342
dynamite,79.86577181208054
ecstasy,49.43790849673203
education,-70.20547945205479
eel,-6.377483443708609
elevator,-26.44736842105263
emotions,-17.424657534246574
employment,-37.946666666666665
energy,-25.033557046979865
enjoyment,-69.54054054054055
entertainment,-57.561290322580646
envy,20.77922077922078
epidemic,71.58783783783784
espionage,58.735099337748345
espresso,-48.77777777777778
ethanol,31.038961038961038
exhaustion,39.66891891891892
explosion,86.82119205298014
explosive,86.62666666666667
farming,-15.96551724137931
fat,30.966216216216218
fatigue,25.294117647058822
feelings,-20.573333333333334
feminism,-31.80392156862745
ferry,-20.908496732026144
firecracker,37.23026315789474
firefighter,0.7094594594594594
fireman,-11.006578947368421
firetruck,-33.1
fish,-45.888888888888886
fishing,-36.55921052631579
fitness,-53.391891891891895
flashlight,-59.078947368421055
flask,-50.53061224489796
flight,-6.629139072847682
floating,-29.0
foam,-39.29333333333334
fog,20.66887417218543
fox,-7.9072847682119205
fraud,64.96103896103897
freedom,-55.625
freeway,17.039735099337747
freezer,-40.054421768707485
freezing,46.306666666666665
frisbee,-44.07843137254902
frog,-49.401315789473685
frost,5.589403973509934
fruit,-72.96688741721854
fuel,11.087248322147651
fumes,59.48993288590604
fungi,10.470588235294118
fungus,19.894039735099337
furnace,39.92
gang,60.0945945945946
gangster,66.91946308724832
garage,-43.46896551724138
garden,-67.11333333333333
gasoline,37.270270270270274
genocide,94.29054054054055
gladiator,46.026490066225165
glass,-1.5562913907284768
glucose,-18.322580645161292
goggles,-62.10344827586207
golf,-49.2108843537415
gossip,19.606666666666666
government,23.7012987012987
grass,-67.29530201342281
grasshopper,-64.34868421052632
grease,0.9210526315789473
grenade,87.89261744966443
grief,15.536912751677852
grill,-5.111111111111111
grinder,23.0
guilt,8.68
gunpowder,56.276315789473685
gutter,-19.428571428571427
hairdryer,-27.49342105263158
hallucinate,38.94701986754967
hallucination,44.53793103448276
hallucinogen,52.35333333333333
hangman,4.642384105960265
hangover,8.776315789473685
harassment,57.88666666666666
hatred,49.920529801324506
hazard,71.90728476821192
haze,-2.462068965517241
healthcare,-53.13333333333333
heart,-31.93877551020408
heater,-9.945945945945946
helicopter,13.55921052631579
helmet,-70.28289473684211
hemp,-28.30921052631579
hernia,41.20134228187919
heron,-25.476510067114095
highschool,-30.11842105263158
highway,28.66013071895425
hippie,-47.7972972972973
holocaust,88.90196078431373
